Title,Genre,Tags,Languages,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,Summary,Series or Movie,IMDb Votes,Image
Lets Fight Ghost,"Crime, Drama, Fantasy, Horror, Romance","Comedy Programmes,Romantic TV Comedies,Horror Programmes,Thai TV Programmes","Swedish, Spanish",Thailand,< 30 minutes,Tomas Alfredson,John Ajvide Lindqvist,"Lina Leandersson, Kåre Hedebrant, Per Ragnar, Henrik Dahl",R,7.9,74,57,"$21,22,065",12-Dec-08,04-03-2021,"Canal+, Sandrew Metronome",https://www.netflix.com/watch/81415947,"A med student with a supernatural gift tries to cash in on his abilities by facing off against ghosts, till a wandering spirit brings romance instead.",Series,205926,https://occ-0-4708-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcmgLCxN8dNahdY2kgd1hhcL2a6XrE92x24Bx5h6JFUvH5zMrv6lFWl_aWMt33b6DHvkgsUeDx_8Q1rmopwT3fuF8Rq3S1hrkvFf3uzVv2sb3zrtU-LM1Zy1FfrAKD3nKNyA_RQWrmw.jpg?r=cd0
HOW TO BUILD A GIRL,Comedy,"Dramas,Comedies,Films Based on Books,British",English,Canada,1-2 hour,Coky Giedroyc,Caitlin Moran,"Cleo, Paddy Considine, Beanie Feldstein, Dónal Finn",R,5.8,1,,"$70,632",08-May-20,04-03-2021,"Film 4, Monumental Pictures, Lionsgate",https://www.netflix.com/watch/81041267,"When nerdy Johanna moves to London, things get out of hand when she reinvents herself as a bad-mouthed music critic to save her poverty-stricken family.",Movie,2838,https://occ-0-1081-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe_fxMSBM1E-sSoszr12SmkI-498sqBWrEyhkchdn4UklQVjdoPS_Hj-NhvgbePvwlDSzMTcrIE0kgiy-zTEU_EaGg.jpg?r=35a
The Con-Heartist,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Thai Comedies,Thai Films",Thai,Thailand,> 2 hrs,Mez Tharatorn,"Pattaranad Bhiboonsawade, Mez Tharatorn, Thodsapon Thiptinnakorn","Kathaleeya McIntosh, Nadech Kugimiya, Pimchanok Leuwisetpaiboon, Thiti Mahayotaruk",,7.4,,,,03-Dec-20,03-03-2021,,https://www.netflix.com/watch/81306155,"After her ex-boyfriend cons her out of a large sum of money, a former bank employee tricks a scam artist into helping her swindle him in retaliation.",Movie,131,https://occ-0-2188-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSj6td_whxb4en62Ax5EKSKMl2lTzEK5CcBhwBdjRgF6SOJb4RtVoLhPAUWEskuOxPiaafxU1qauZDTJguwNQ9GstA.jpg?r=e76
Gleboka woda,Drama,"TV Dramas,Polish TV Shows,Social Issue TV Dramas",Polish,Poland,< 30 minutes,,,"Katarzyna Maciag, Piotr Nowak, Marcin Dorocinski, Julia Kijowska",,7.5,2,4,,14-Jun-11,03-03-2021,,https://www.netflix.com/watch/81307527,A group of social welfare workers led by their new director tries to provide necessary aid to people struggling with various problems.,Series,47,https://occ-0-2508-2706.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSxWH_aWvJrqXWANpOp86kFpU3kdpqx9RsdYZZGHfpIalSig2QHKaZXm8vhKWr89-OLh5XqzIHj_5UzwNriADy19NQ.jpg?r=561
Only a Mother,Drama,"Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Swedish Movies",Swedish,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Switzerland,United Kingdom,Iceland,Czech Republic",1-2 hour,Alf Sjöberg,Ivar Lo-Johansson,"Hugo Björne, Eva Dahlbeck, Ulf Palme, Ragnar Falck",,6.7,2,1,,31-Oct-49,03-03-2021,,https://www.netflix.com/watch/81382068,An unhappily married farm worker struggling to care for her children reflects on her lost youth and the scandalous moment that cost her true love.,Movie,88,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdpOFktQ4Z3klQEU2XQc9NWompf70CHEGLPIeBdCGGLDhvy1Mqly5552DUYR5-5M77STCj8rPvCbXltOcTj53olEzA.jpg?r=c84
Snowroller,Comedy,"Sports Movies,Sports Comedies,Comedies,Swedish Movies","Swedish, English, German, Norwegian","Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Lasse Åberg,"Lasse Åberg, Bo Jonsson","Lasse Åberg, Cecilia Walton, Eva Millberg, Jon Skolmen",,6.6,,,,04-Oct-85,03-03-2021,,https://www.netflix.com/watch/81382187,"Two friends take a ski trip to the Alps, where they enjoy the outdoors and try to charm two women also on vacation.",Movie,5926,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQoql2u62H3BqwAhwJWTF-F0QIaG7dmZiMx8WDff2YUSCX-Sgo072F5HPosZbBJTcYQBjNACBHurAbB40rPQxWBrzQ.jpg?r=667
The Invisible,"Crime, Drama, Fantasy, Mystery, Thriller","Thriller Movies,Movies Based on Books,Supernatural Thrillers,Swedish Movies",English,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,David S. Goyer,"Mats Wahl, Mick Davis, Christine Roum","Marcia Gay Harden, Margarita Levieva, Chris Marquette, Justin Chatwin",PG-13,6.2,,1,"$2,05,78,909",27-Apr-07,03-03-2021,"Touchstone Pictures, Spyglass Entertainment",https://www.netflix.com/watch/81382078,"Critically injured after a brutal beating, a teenager and aspiring poet finds himself suspended between life and death and invisible to others.",Movie,34738,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT4CgikQDwLNg_HIlP0G50p7X0H52kcxOjHouEzeNBOfFPw09TWvHjEsYik1kGHzPrRlmEysonrVtPCBpLruAWAypw.jpg?r=3be
The Simple Minded Murderer,Drama,"Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Classic Movies,Swedish Movies","Scanian, Swedish","Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Hans Alfredson,Hans Alfredson,"Maria Johansson, Hans Alfredson, Stellan Skarsgård, Per Myrberg",,7.6,7,2,,01-Sep-85,03-03-2021,"Svensk Filmindustri, Svenska Filminstitutet",https://www.netflix.com/watch/81382075,"A good-natured farmhand, perpetually terrorized by his cruel boss for his disability, finds love and acceptance when a poor family takes him in.",Movie,2870,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABSCbJSjrtL9_AKGjIFM4AsWtMnMCsEVPEx3tX4VugQFx6mTzI5UiuadI6r5pPgrLpk1Re74mXg6BBBn_ezxWIHT1sJ_CBnhLnahp8_wOWjf9rc4.jpg?r=17a
To Kill a Child,"Short, Drama","Dramas,Swedish Movies",Spanish,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",< 30 minutes,"José Esteban Alenda, César Esteban Alenda","Victoria Ruiz, José Esteban Alenda, César Esteban Alenda","Cristina Marcos, Manolo Solo, Roger Príncep, Roger Álvarez",,7.7,2,5,,07-Feb-11,03-03-2021,,https://www.netflix.com/watch/81382065,A car accident involving a young child takes a devastating toll in this 9-minute film based on the 1948 short story by writer Stig Dagerman.,Movie,78,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVw0K_2t1GJtJ0ySMSoglb6DXX9izzwMyKxEYqfkY_k8-rFSoXLnaIxq2YLWs_sUtbRAiCjeXTUuOdOOdaD-zmV7Jw.jpg?r=4b1
Joker,"Crime, Drama, Thriller","Dark Comedies,Crime Comedies,Dramas,Comedies,Crime Dramas,Swedish Movies",English,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic",1-2 hour,Todd Phillips,"Bob Kane, Jerry Robinson, Bill Finger, Todd Phillips, Scott Silver","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",R,8.4,112,228,"$33,54,51,311",04-Oct-19,03-03-2021,"Bron Studios, Creative Wealth Media Finance, DC Comics",https://www.netflix.com/watch/81382215,"A practical jokers fake kidnapping at a bachelor party turns into a real abduction, forcing him to infiltrate a terrorist group and rescue the groom.",Movie,951938,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeslXp6h2-qkqlqXUU569-RwKdu37HSTPQTjzxVn1KnoCC5BHf1MPTD_fsTI5XkMR2gns_TRHNpt74or_hV6OfPtHg.jpg?r=ce4
